"","clip","stimulus","response","language","gender","noise_exposure","age","condition","trial","participant"
"116","yanny-laurel-single_laurel_24.wav",-3,"Laurel","","f","no",NA,"random",27,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"117","yanny-laurel-single_yanny_6.wav",1,"Yanny","","f","no",NA,"random",28,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"118","yanny-laurel-single_yanny_24.wav",3,"Yanny","","f","no",NA,"random",29,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"119","yanny-laurel-single_laurel_12.wav",-2,"Laurel","","f","no",NA,"random",30,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"120","yanny-laurel-single_yanny_36.wav",4,"Yanny","","f","no",NA,"random",31,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"121","yanny-laurel-single_yanny_0.wav",0,"Laurel","","f","no",NA,"random",32,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"122","yanny-laurel-single_laurel_48.wav",-5,"Laurel","","f","no",NA,"random",33,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"123","yanny-laurel-single_laurel_6.wav",-1,"Laurel","","f","no",NA,"random",34,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"124","yanny-laurel-single_laurel_12.wav",-2,"Laurel","","f","no",NA,"random",35,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"125","yanny-laurel-single_laurel_36.wav",-4,"Laurel","","f","no",NA,"random",36,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"126","yanny-laurel-single_yanny_12.wav",2,"Yanny","","f","no",NA,"random",37,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"127","yanny-laurel-single_yanny_48.wav",5,"Yanny","","f","no",NA,"random",38,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"128","yanny-laurel-single_laurel_24.wav",-3,"Laurel","","f","no",NA,"random",39,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"129","yanny-laurel-single_yanny_6.wav",1,"Yanny","","f","no",NA,"random",40,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"130","yanny-laurel-single_yanny_36.wav",4,"Yanny","","f","no",NA,"random",41,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"131","yanny-laurel-single_yanny_24.wav",3,"Yanny","","f","no",NA,"random",42,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"132","yanny-laurel-single_yanny_0.wav",0,"Yanny","","f","no",NA,"random",43,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"133","yanny-laurel-single_laurel_48.wav",-5,"Laurel","English","f","no",20,"laurel_first",0,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"134","yanny-laurel-single_laurel_36.wav",-4,"Laurel","English","f","no",20,"laurel_first",1,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"135","yanny-laurel-single_laurel_24.wav",-3,"Laurel","English","f","no",20,"laurel_first",2,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"136","yanny-laurel-single_laurel_12.wav",-2,"Laurel","English","f","no",20,"laurel_first",3,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"137","yanny-laurel-single_laurel_6.wav",-1,"Laurel","English","f","no",20,"laurel_first",4,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"138","yanny-laurel-single_yanny_0.wav",0,"Laurel","English","f","no",20,"laurel_first",5,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"139","yanny-laurel-single_yanny_6.wav",1,"Laurel","English","f","no",20,"laurel_first",6,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"140","yanny-laurel-single_yanny_12.wav",2,"Laurel","English","f","no",20,"laurel_first",7,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"141","yanny-laurel-single_yanny_24.wav",3,"Laurel","English","f","no",20,"laurel_first",8,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"142","yanny-laurel-single_yanny_36.wav",4,"Laurel","English","f","no",20,"laurel_first",9,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"143","yanny-laurel-single_yanny_48.wav",5,"Laurel","English","f","no",20,"laurel_first",10,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"144","yanny-laurel-single_yanny_48.wav",5,"Laurel","English","f","no",20,"laurel_first",11,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"145","yanny-laurel-single_yanny_36.wav",4,"Laurel","English","f","no",20,"laurel_first",12,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"146","yanny-laurel-single_yanny_24.wav",3,"Laurel","English","f","no",20,"laurel_first",13,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"147","yanny-laurel-single_yanny_12.wav",2,"Laurel","English","f","no",20,"laurel_first",14,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"148","yanny-laurel-single_yanny_6.wav",1,"Laurel","English","f","no",20,"laurel_first",15,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"149","yanny-laurel-single_yanny_0.wav",0,"Laurel","English","f","no",20,"laurel_first",16,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"150","yanny-laurel-single_laurel_6.wav",-1,"Laurel","English","f","no",20,"laurel_first",17,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"151","yanny-laurel-single_laurel_12.wav",-2,"Laurel","English","f","no",20,"laurel_first",18,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"152","yanny-laurel-single_laurel_24.wav",-3,"Laurel","English","f","no",20,"laurel_first",19,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"153","yanny-laurel-single_laurel_36.wav",-4,"Laurel","English","f","no",20,"laurel_first",20,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"154","yanny-laurel-single_laurel_48.wav",-5,"Laurel","English","f","no",20,"laurel_first",21,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"155","yanny-laurel-single_laurel_48.wav",-5,"Laurel","English","f","no",20,"laurel_first",22,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"156","yanny-laurel-single_laurel_36.wav",-4,"Laurel","English","f","no",20,"laurel_first",23,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"157","yanny-laurel-single_laurel_24.wav",-3,"Laurel","English","f","no",20,"laurel_first",24,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"158","yanny-laurel-single_laurel_12.wav",-2,"Laurel","English","f","no",20,"laurel_first",25,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"159","yanny-laurel-single_laurel_6.wav",-1,"Laurel","English","f","no",20,"laurel_first",26,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"160","yanny-laurel-single_yanny_0.wav",0,"Laurel","English","f","no",20,"laurel_first",27,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"161","yanny-laurel-single_yanny_6.wav",1,"Laurel","English","f","no",20,"laurel_first",28,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"162","yanny-laurel-single_yanny_12.wav",2,"Laurel","English","f","no",20,"laurel_first",29,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"163","yanny-laurel-single_yanny_24.wav",3,"Laurel","English","f","no",20,"laurel_first",30,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"164","yanny-laurel-single_yanny_36.wav",4,"Laurel","English","f","no",20,"laurel_first",31,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"165","yanny-laurel-single_yanny_48.wav",5,"Laurel","English","f","no",20,"laurel_first",32,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"166","yanny-laurel-single_yanny_48.wav",5,"Laurel","English","f","no",20,"laurel_first",33,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"167","yanny-laurel-single_yanny_36.wav",4,"Laurel","English","f","no",20,"laurel_first",34,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"168","yanny-laurel-single_yanny_24.wav",3,"Laurel","English","f","no",20,"laurel_first",35,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"169","yanny-laurel-single_yanny_12.wav",2,"Laurel","English","f","no",20,"laurel_first",36,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"170","yanny-laurel-single_yanny_6.wav",1,"Laurel","English","f","no",20,"laurel_first",37,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"171","yanny-laurel-single_yanny_0.wav",0,"Laurel","English","f","no",20,"laurel_first",38,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"172","yanny-laurel-single_laurel_6.wav",-1,"Laurel","English","f","no",20,"laurel_first",39,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
"173","yanny-laurel-single_laurel_12.wav",-2,"Laurel","English","f","no",20,"laurel_first",40,"08bf8aadf33dec7e219cd57a4a79ea145fa3ac11f894"
